id,text_x,text_top,text_w,text_h,ocr,score
47259,0.0,0.1267,1.0,0.2037,CHERRY TREE LANE,1.2349
47287,0.0614,0.0127,0.9386,0.3234,H.P. The LOVECRAFT Collection VOLUME 2 LURKER,0.8651
47335,0.0,0.0017,1.0,0.2792,"SCULPTURE YOUR WORST NIGHTMARE IS HER GREATEST WORK OF ART ""A VISCERAL TREAT."" -",1.771
47469,0.2434,0.5693,0.5287,0.0815,detained,0.107
49379,0.0248,0.0033,0.9602,0.2303,FROM TIME UNBORN...A HIDEOUS SHE-THING! TERROR,1.2575
49433,0.0966,0.3636,0.8644,0.2365,Forgive Me For Raping You,0.3923
49794,0.0813,0.0108,0.8443,0.1573,Jeffrey C. Hogue Presents CURSE OF THE ALPHA STONE,0.6763
49801,0.1175,0.6388,0.7613,0.1766,And then... Harry 2. Thomason's THE DAY IT CAME TO EARTH WINK ROBERTS ROGER MANN,0.6156
50317,0.2261,0.2858,0.6097,0.1216,HEAD TRAUMA,0.2127
50395,0.1142,0.5138,0.7955,0.3488,The Legend Resurrection Mary,0.8781
50699,0.0454,0.6938,0.9228,0.1202,TRANCERS,0.5461
50762,0.0,0.3219,1.0,0.3418,FEAR LE,0.6112
50973,0.0386,0.3318,0.828,0.249,Quick! !!,0.2799
51021,0.0976,0.0024,0.8065,0.3592,LU'RE TEEN FIGHT CLUB,1.5565
51723,-1.0,-1.0,-1.0,-1.0,,0.0
52308,-1.0,-1.0,-1.0,-1.0,,0.0
52455,0.0,0.0,1.0,0.2594,MONSTER FROM GREEN HELL,1.6902
53007,0.0,0.0,0.9383,0.1526,CINEMAGIC presents: FLIGHT TO HELL,0.843
53060,0.2896,0.4926,0.6591,0.2216,HUMANOIDS FROM THE DEEP,0.4275
54211,0.0994,0.0508,0.8106,0.2943,TOR URE R OM,1.3013
54604,0.0,0.0,0.9862,0.2959,FACES OF SCHLOCK BOOBS aNd,1.5918
54750,0.0,0.0429,1.0,0.1798,the commune,0.7893
54871,0.1428,0.7604,0.7076,0.213,CLICK THE CALENDAR GIRL KILLER,0.8831
54961,0.4047,0.3309,0.5778,0.275,PASSED THE DOOR OF DARKNESS Areather THE SUN FOOT Death STEADLY,0.23
55083,-1.0,-1.0,-1.0,-1.0,,0.0
55186,0.0357,0.0303,0.9643,0.3074,"janine antonio sabato, jr. turner 000100100 FATAL ERROR",1.6931
55300,-1.0,-1.0,-1.0,-1.0,,0.0
55366,0.0,0.6572,0.9712,0.1519,AUTOPSY,0.7849
55663,0.0815,0.0,0.9185,0.326,DINOSAVRUS! n,0.9226
55943,0.0223,0.7286,0.5635,0.2572,MUST FALL,0.8142
56021,0.1314,0.6671,0.7392,0.3169,DEATH A WILD of THE EVIL REALMS RIDE THROUGH DARK AMADEUS PICTURES PRESENTS A DA,1.2936
56530,-1.0,-1.0,-1.0,-1.0,,0.0
57817,0.232,0.7229,0.768,0.2565,RED RIVER,1.2067
58010,0.0518,0.6189,0.9367,0.3315,Housokeeper RITA TUSHINGHAM in the It's murder finding good help these days...,0.6503
58643,0.0445,0.7205,0.8955,0.2637,WAKE THE WITCH UNFILTERED ENTERTAINMENT PRESENTS A GIRL MEETS MONSTER PRODUCTION,1.2339
58783,0.0973,0.088,0.8066,0.1767,ALIEN EXPRESS,0.8188
58977,0.0,0.784,1.0,0.1766,BELA LUGOSI THE FALLEN VAMPIRE,1.0472
58980,0.1167,0.4657,0.8833,0.1815,HOLLOW House,0.1698
59039,0.18,0.0,0.6398,0.2293,Duffer,0.7965
59114,0.1255,0.0726,0.7978,0.274,BOBBI Gelusa Akira Richard Joanna Zaripova Van Vleet Lane Hernandez ICE SCREAM T,1.2181
60283,0.0,0.2329,0.9962,0.3378,KILLER SCHOOL GIRLS FROM OUTER SPACE,0.6792
61043,0.4068,0.7825,0.5932,0.1825,ANOVYMOUS,0.4453
