id,title,original_title,year,year_mode
1677050,2 hours of On This Spot files to sleep to (or if you’re really high),2 hours of On This Spot files to sleep to (or if you’re really high),2026,none
1679959,The Second Skeleton,The Second Skeleton,2026,none
1683446,Break Out,Break Out,2026,none
1688202,Night of the Blood Curse,Night of the Blood Curse,2026,none
1688495,The Shadowman's Nightmare,The Shadowman's Nightmare,2026,none
1691931,LAKESVILLE MOVIE,LAKESVILLE MOVIE,2026,none
1696147,Incident At Grandma's,Incident At Grandma's,2026,none
1697835,WE WHO HUNGER,WE WHO HUNGER,2026,none
1704110,M.E.N.A.G.E.R.I.E,M.E.N.A.G.E.R.I.E : A Presentable Liberty,2026,none
1706084,the grievance of the day,the grievance of the day,2026,none
1711104,Agatha,Agatha,2026,none
1714195,Devils Lake,Devils Lake,2026,none
1723448,Himalaya: Black Ice Edition,Himalaya: Black Ice Edition,2026,none
1728171,Berber,Berber,2026,none
1728239,The Mineco Movie,The Mineco Movie,2026,none
1728338,The Creeps III,The Creeps III,2026,none
1728343,Doll Killer 4,Doll Killer 4,2026,none
1729087,The Shrimp-Off,The Shrimp-Off,2026,none
1299747,"""I Don't Wanna Do This Anymore""","""I Don't Wanna Do This Anymore""",2027,none
1490000,The Stars That Fade,The Stars That Fade,2027,none
1505506,Rocky Wake,Rocky Wake,2027,none
1525218,Narco Shark 3,Narco Shark 3,2028,none
1573756,The Hollow Season,The Hollow Season,2027,none
1597138,The Fields of Abbottsville,The Fields of Abbottsville,2027,none
1636855,Fish in a Barrel,Fish in a Barrel,2027,none
1659742,All Legs,All Legs,2027,none
1680924,Soft Things Rot,Soft Things Rot,2027,none
1711651,Carver,Carver,2027,none
1729815,The Marked Room,The Marked Room,2028,none
27772,"Play Dead, Inc.","Play Dead, Inc.",1998,none
44954,A Little Death,A Little Death,2010,none
126512,The Dark Angel,The Dark Angel,1987,none
136705,Amerikill,Amerikill,1999,none
251721,Final Destinations,Final Destinations,1990,none
272350,The Gothfather,The Gothfather,2010,none
272810,The Pizza Man,The Pizza Man,2001,none
273675,A Ripper in Canada: Paranormal Hauntings in the Great White North,A Ripper in Canada: Paranormal Hauntings in the Great White North,2014,none
