id,title,original_title,year,reason,n_candidates
1377314,Radha and Maeve Become Vampires,Radha and Maeve Become Vampires,2024,no_title_year_match,0
1377969,Tales From the Graveyard,Tales From the Graveyard,2023,no_title_year_match,0
1381049,No Escape (A Backrooms Film),No Escape (A Backrooms Film),2024,no_title_year_match,0
1385156,The Hundred Voices of Harry Hoffman,The Hundred Voices of Harry Hoffman,2024,no_title_year_match,0
1386947,Violated,Violated,2024,no_title_year_match,0
1388524,Crimson Maw,Crimson Maw,2024,no_title_year_match,0
1389514,She's a Bitch,She's a Bitch,2025,no_title_year_match,0
1394063,Liquid Vinegar,Liquid Vinegar,2024,no_title_year_match,0
1394697,Death O' Lantern: Corn on the Mac-Cob,Death O' Lantern: Corn on the Mac-Cob,2024,no_title_year_match,0
1397440,Noise: Reflejo,Noise: Reflejo,2025,no_title_year_match,0
1400005,Son Of Gacy: Chapter One,Son Of Gacy: Chapter One,2023,no_title_year_match,0
1400500,The Moon King,The Moon King,2024,no_title_year_match,0
1403029,Yaksha,Yaksha,2025,no_title_year_match,0
1412171,The Bombay Halloween Special,The Bombay Halloween Special,2024,no_title_year_match,0
1416731,The Edensphere Saga,The Edensphere Saga,2025,no_title_year_match,0
1417569,The man in the window,The man in the window,2024,no_title_year_match,0
1431516,The Haunting at St. Madeline,The Haunting at St. Madeline,2024,no_title_year_match,0
1436932,Satellite,Satellite,2023,no_title_year_match,0
1441202,Scrupulosity,Scrupulosity,2025,no_title_year_match,0
1441969,Alienated,Alienated,2023,no_title_year_match,0
1442704,Heat Sig,Heat Sig,2024,no_title_year_match,0
1442912,To Be a Starfish,To Be a Starfish,2025,no_title_year_match,0
1445945,housofpsychoticmn.mp4,housofpsychoticmn.mp4,2025,no_title_year_match,0
1450678,Xander,Xander,2025,no_title_year_match,0
1451359,Heavily Pregnant Susan,Heavily Pregnant Susan,2025,no_title_year_match,0
1451570,The Beast of Bray Road,The Beast of Bray Road,2025,no_title_year_match,0
1452523,Ghost Stories,Ghost Stories,2025,no_title_year_match,0
1453109,Hotel Attack,Hotel Attack,2025,no_title_year_match,0
1457700,Stillness Spreads,Stillness Spreads,2025,no_title_year_match,0
1459933,Unlike You,Unlike You,2025,no_title_year_match,0
1460565,Rec Nights At Freddys 2,Rec Nights At Freddys 2,2025,no_title_year_match,0
1462224,Dendam Dalam Dosa,Dendam Dalam Dosa,2025,no_title_year_match,0
1463644,Viper Visionz,Viper Visionz,2024,no_title_year_match,0
1466771,Welcome To Fredbear's,Welcome To Fredbear's,2025,no_title_year_match,0
1468801,A Very Blood Sick Christmas Special,A Very Blood Sick Christmas Special,2024,no_title_year_match,0
1473792,Dollar Store Killers,Dollar Store Killers,2025,no_title_year_match,0
1478501,A Visitor in the Night,A Visitor in the Night,2025,no_title_year_match,0
1478694,Wolf Moon Rising,Wolf Moon Rising,2025,no_title_year_match,0
1481393,The Dark House,The Dark House,2025,no_title_year_match,0
1486392,The Birdwatcher,The Birdwatcher,2025,no_title_year_match,0
1498452,Edmonton To Milan,Edmonton To Milan,2025,no_title_year_match,0
1498777,The ghost light of the Big Thicket,The ghost light of the Big Thicket,2025,no_title_year_match,0
1499312,In The Land of Fish and Honey,In The Land of Fish and Honey,2025,no_title_year_match,0
1499363,Dawn Of The Dyer,Dawn Of The Dyer,2025,no_title_year_match,0
1499799,Slop.,Slop.,2024,no_title_year_match,0
1502939,Harvest Brood,Harvest Brood,2025,no_title_year_match,0
1505948,Whiteface,Whiteface,2025,no_title_year_match,0
1506037,The Movie That Was Never Made,The Movie Does Not Exist,2025,no_title_year_match,0
1511111,The Things We Keep,The Things We Keep,2025,no_title_year_match,0
1514584,Blood Weekend,Blood Weekend,2025,no_title_year_match,0
1519253,Ape,Ape,2025,no_title_year_match,0
1525341,Kaycee Brown,Kaycee Brown,2024,no_title_year_match,0
1525910,Day of the Draugr,Day of the Draugr,2025,no_title_year_match,0
1526741,An Evening with Rodney Ascher,An Evening with Rodney Ascher,2025,no_title_year_match,0
1530207,52AMGOD,52AMGOD,2025,no_title_year_match,0
1534580,"JPW x Brendan Underground - Die in Hell, Bro","JPW x Brendan Underground - Die in Hell, Bro",2025,no_title_year_match,0
1536383,The Veiled Abyss,The Veiled Abyss,2024,no_title_year_match,0
1538712,Tulsa Terrors,Tulsa Terrors,2025,no_title_year_match,0
1541383,The Killer Within,The Killer Within,2025,no_title_year_match,0
1542655,Death Cult,Death Cult,2025,no_title_year_match,0
1549340,No Longer Humans,No Longer Humans,2025,no_title_year_match,0
1555096,The Book of Hades,The Book of Hades,2025,no_title_year_match,0
1555576,Spite,Spite,2025,no_title_year_match,0
1558271,Amityville: Bed & Breakfast,Amityville: Bed & Breakfast,2025,no_title_year_match,0
1558416,Candleman: Part One,Candleman: Part One,2025,no_title_year_match,0
1562243,Smosh vs Aliens: The Movie,Smosh vs Aliens: The Movie,2025,no_title_year_match,0
1562959,10/31: KNIGHTS,10/31: KNIGHTS,2025,no_title_year_match,0
1565447,Lock Your Doors,Lock Your Doors,2025,no_title_year_match,0
