id,title,original_title,year,current_stem,current_overlap,current_fuzzy,best_stem,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
290696,Dysmorphia,Dysmorphia,2014,290696.jpg,0.0,0.1818,2ljxAHBIQKNBgSuLGamPwPKGYBU,posters_multi/290696/2ljxAHBIQKNBgSuLGamPwPKGYBU.jpg,1.0,1.0,1.0,0.8182,5,1,overlap_gain
290732,VIViD,VIViD,2011,290732.jpg,0.0,0.0769,VirWpx8UbFlKk2LuUIPJrCcBbn,posters_multi/290732/VirWpx8UbFlKk2LuUIPJrCcBbn.jpg,1.0,0.4762,1.0,0.3993,5,1,overlap_gain
292227,Night is the Time For Killing,Night is the Time For Killing,1975,292227.jpg,0.3333,0.2131,mqkxympXKa2gsHfQ6KCRPY8Ts92,posters_multi/292227/mqkxympXKa2gsHfQ6KCRPY8Ts92.jpg,0.3333,0.2131,0.0,0.0,2,0,no
294488,Maniac Too!,Maniac Too!,,294488.jpg,0.0,0.1364,uwWcnJvOi3e6y3n1kv6pt0GP9lQ,posters_multi/294488/uwWcnJvOi3e6y3n1kv6pt0GP9lQ.jpg,0.0,0.1348,0.0,-0.0016,1,0,no
299637,Masseur’s Curse,怪談累が渕,1970,299637.jpg,0.0,0.2623,pH2r170zmYOajkLOHNEuPL6wmVP,posters_multi/299637/pH2r170zmYOajkLOHNEuPL6wmVP.jpg,0.0,0.2623,0.0,0.0,2,0,no
300817,Graves & Bones,Grafir og bein,2014,300817.jpg,0.0,0.1053,cXnLR3frbI1ZrEuy2j7Ub7xic0,posters_multi/300817/cXnLR3frbI1ZrEuy2j7Ub7xic0.jpg,1.0,1.0,1.0,0.8947,1,1,overlap_gain
302038,An Erotic Tale of Ms. Dracula,An Erotic Tale of Ms. Dracula,,302038.jpg,0.3333,0.3607,nBrYeXLAdqlH30CO2VpMTXgXeTk,posters_multi/302038/nBrYeXLAdqlH30CO2VpMTXgXeTk.jpg,1.0,1.0,0.6667,0.6393,3,1,overlap_gain
302512,Awaken the Devil,Awaken the Devil,,302512.jpg,0.3333,0.0103,uducCd6iOb5eBaQm18ouZ6aRlmM,posters_multi/302512/uducCd6iOb5eBaQm18ouZ6aRlmM.jpg,0.3333,0.0102,0.0,-0.0001,1,0,no
303898,Cut Throat,Cut Throat,2002,303898.jpg,0.0,0.1176,xtxOdFj4yUZdGMYaTNHaA7VOEaT,posters_multi/303898/xtxOdFj4yUZdGMYaTNHaA7VOEaT.jpg,1.0,0.5806,1.0,0.463,4,1,overlap_gain
308135,Cryptid,Cryptid,2006,308135.jpg,0.0,0.0,wSODkEM8hm952IXZI73mwBVdJmL,posters_multi/308135/wSODkEM8hm952IXZI73mwBVdJmL.jpg,0.0,0.0,0.0,0.0,1,0,no
