title,type,year,id,slug,url,rails
El proyecto de la bruja de Blair,movie,1999,5d776d1796b655001fe3f323,the-blair-witch-project,https://watch.plex.tv/movie/the-blair-witch-project,Fan Favorites in Horror
El resplandor,movie,1980,5d7768287e9a3c0020c6ad28,the-shining,https://watch.plex.tv/movie/the-shining,Fan Favorites in Horror
El rito,movie,2011,5d77688661141d001fb1c93f,the-rite,https://watch.plex.tv/movie/the-rite,Available on Plex
El viento,movie,1986,5d77685d51dd69001fe0aea0,the-wind,https://watch.plex.tv/movie/the-wind,Surprise Me
El último escalón,movie,1999,5d9f34ff9dd5f4001e843183,stir-of-echoes,https://watch.plex.tv/movie/stir-of-echoes,Available on Plex
En mar abierto,clip,2026,69d10227de00d452fe7380a4,deep-water-2026,https://watch.plex.tv/movie/deep-water-2026,Trending Horror Trailers
Entrevista con el vampiro,movie,1994,5d7768276f4521001ea98f72,interview-with-the-vampire-the-vampire-chronicles,https://watch.plex.tv/movie/interview-with-the-vampire-the-vampire-chronicles,Fan Favorites in Horror
Escupiré sobre tu tumba,movie,2010,5d77687c7a53e9001e6d0766,i-spit-on-your-grave,https://watch.plex.tv/movie/i-spit-on-your-grave,Available on Plex
Evil Follows,movie,2026,69dc8cb3935ee6cb25dfb681,evil-follows-2026,https://watch.plex.tv/movie/evil-follows-2026,Recently Released in Horror
Expediente Warren,movie,2013,5d7769a5ad5437001f76365d,the-conjuring,https://watch.plex.tv/movie/the-conjuring,Fan Favorites in Horror
Familiar,movie,2012,5d7768fc96b655001fdc71f4,familiar,https://watch.plex.tv/movie/familiar,Trending in Horror
Farm House,movie,2026,68c6044289be7b0835c5c5f2,farm-house-2026,https://watch.plex.tv/movie/farm-house-2026,Recently Released in Horror
Flicker,movie,2026,6813a59868c977d61100d5f8,flicker-2026-3,https://watch.plex.tv/movie/flicker-2026-3,Recently Released in Horror
Frankenstein,movie,2025,5d776e1651dd69001fe48a6e,frankenstein-2025,https://watch.plex.tv/movie/frankenstein-2025,Most Watchlisted This Week|Fan Favorites in Horror
From,clip,2022,62049340cb79a6507cef9811,from,https://watch.plex.tv/show/from,Trending Horror Trailers
Godzilla Minus Zero,clip,2026,6a23675e2159425f20f1fd68,godzilla-minus-zero,https://watch.plex.tv/movie/godzilla-minus-zero,Trending Horror Trailers
