id,title,year,vote_count,imdb_id,reason
1038392,The Conjuring: Last Rites,2025,1988,tt22898462,tmdb_vote_count_gt_100
635910,The Last Voyage of the Demeter,2023,1980,tt1001520,tmdb_vote_count_gt_100
9645,Ghost Ship,2002,1978,tt0288477,tmdb_vote_count_gt_100
985,Eraserhead,1977,1961,tt0074486,tmdb_vote_count_gt_100
19898,Pandorum,2009,1952,tt1188729,tmdb_vote_count_gt_100
476299,Ghostland,2018,1950,tt6195094,tmdb_vote_count_gt_100
372343,The Snowman,2017,1948,tt1758810,tmdb_vote_count_gt_100
610253,Halloween Kills,2021,1941,tt10665338,tmdb_vote_count_gt_100
10331,Night of the Living Dead,1968,1935,tt0063350,tmdb_vote_count_gt_100
10320,The Ring Two,2005,1935,tt0377109,tmdb_vote_count_gt_100
28355,Case 39,2009,1935,tt0795351,tmdb_vote_count_gt_100
9003,Hellraiser,1987,1933,tt0093177,tmdb_vote_count_gt_100
38321,Priest,2011,1923,tt0822847,tmdb_vote_count_gt_100
86825,Stoker,2013,1923,tt1682180,tmdb_vote_count_gt_100
602223,The Forever Purge,2021,1904,tt10327252,tmdb_vote_count_gt_100
546121,Run,2020,1901,tt8633478,tmdb_vote_count_gt_100
14001,Dead Silence,2007,1893,tt0455760,tmdb_vote_count_gt_100
4970,Gothika,2003,1883,tt0348836,tmdb_vote_count_gt_100
72571,Paranormal Activity 3,2011,1878,tt1778304,tmdb_vote_count_gt_100
2082,Halloween,2007,1873,tt0373883,tmdb_vote_count_gt_100
10065,The Amityville Horror,2005,1862,tt0384806,tmdb_vote_count_gt_100
8814,Doom,2005,1849,tt0419706,tmdb_vote_count_gt_100
1248,Hannibal Rising,2007,1848,tt0367959,tmdb_vote_count_gt_100
482373,Don't Breathe 2,2021,1847,tt6246322,tmdb_vote_count_gt_100
43947,I Spit on Your Grave,2010,1836,tt1242432,tmdb_vote_count_gt_100
283445,Sinister 2,2015,1832,tt2752772,tmdb_vote_count_gt_100
460458,Resident Evil: Welcome to Raccoon City,2021,1831,tt6920084,tmdb_vote_count_gt_100
37707,Splice,2009,1825,tt1017460,tmdb_vote_count_gt_100
502416,Ma,2019,1823,tt7958736,tmdb_vote_count_gt_100
1151031,Bring Her Back,2025,1792,tt32246771,tmdb_vote_count_gt_100
523139,In the Tall Grass,2019,1788,tt4687108,tmdb_vote_count_gt_100
48171,The Rite,2011,1786,tt1161864,tmdb_vote_count_gt_100
37169,The Human Centipede (First Sequence),2009,1772,tt1467304,tmdb_vote_count_gt_100
184346,Deliver Us from Evil,2014,1760,tt2377322,tmdb_vote_count_gt_100
8913,Pet Sematary,1989,1748,tt0098084,tmdb_vote_count_gt_100
632357,The Unholy,2021,1737,tt9419056,tmdb_vote_count_gt_100
9913,The Skeleton Key,2005,1736,tt0397101,tmdb_vote_count_gt_100
837,Videodrome,1983,1733,tt0086541,tmdb_vote_count_gt_100
646385,Scream,2022,1732,tt11245972,tmdb_vote_count_gt_100
294963,Bone Tomahawk,2015,1730,tt2494362,tmdb_vote_count_gt_100
41402,Let Me In,2010,1728,tt1228987,tmdb_vote_count_gt_100
8461,Funny Games,2008,1709,tt0808279,tmdb_vote_count_gt_100
591273,Fear Street: 1994,2021,1708,tt6566576,tmdb_vote_count_gt_100
604079,The Long Walk,2025,1703,tt10374610,tmdb_vote_count_gt_100
29427,The Crazies,2010,1697,tt0455407,tmdb_vote_count_gt_100
9378,Thir13en Ghosts,2001,1695,tt0245674,tmdb_vote_count_gt_100
439015,Slender Man,2018,1685,tt5690360,tmdb_vote_count_gt_100
762504,Nope,2022,1684,tt10954984,tmdb_vote_count_gt_100
599975,Countdown,2019,1680,tt10039344,tmdb_vote_count_gt_100
923,Dawn of the Dead,1978,1674,tt0077402,tmdb_vote_count_gt_100
7978,The Wolfman,2010,1673,tt0780653,tmdb_vote_count_gt_100
1041613,Immaculate,2024,1673,tt23137390,tmdb_vote_count_gt_100
463684,Velvet Buzzsaw,2019,1671,tt7043012,tmdb_vote_count_gt_100
351211,Blair Witch,2016,1663,tt1540011,tmdb_vote_count_gt_100
375366,The Girl with All the Gifts,2016,1662,tt4547056,tmdb_vote_count_gt_100
1086747,The Watchers,2024,1653,tt26736843,tmdb_vote_count_gt_100
619778,Malignant,2021,1647,tt3811906,tmdb_vote_count_gt_100
1691,Hostel: Part II,2007,1645,tt0498353,tmdb_vote_count_gt_100
335866,Circle,2015,1625,tt3118452,tmdb_vote_count_gt_100
100241,"I, Frankenstein",2014,1623,tt1418377,tmdb_vote_count_gt_100
82990,Paranormal Activity 4,2012,1619,tt2109184,tmdb_vote_count_gt_100
1071215,Thanksgiving,2023,1615,tt1448754,tmdb_vote_count_gt_100
533642,Child's Play,2019,1608,tt8663516,tmdb_vote_count_gt_100
241257,Regression,2015,1593,tt3319920,tmdb_vote_count_gt_100
11281,Halloween II,1981,1591,tt0082495,tmdb_vote_count_gt_100
794,The Omen,1976,1590,tt0075005,tmdb_vote_count_gt_100
980078,Winnie the Pooh: Blood and Honey,2023,1584,tt19623240,tmdb_vote_count_gt_100
3035,Frankenstein,1931,1581,tt0021884,tmdb_vote_count_gt_100
9276,The Faculty,1998,1573,tt0133751,tmdb_vote_count_gt_100
82505,House at the End of the Street,2012,1572,tt1582507,tmdb_vote_count_gt_100
8769,Christine,1983,1571,tt0085333,tmdb_vote_count_gt_100
301804,Before I Wake,2016,1560,tt3174376,tmdb_vote_count_gt_100
1923,Twin Peaks: Fire Walk with Me,1992,1553,tt0105665,tmdb_vote_count_gt_100
1023922,MaXXXine,2024,1551,tt22048412,tmdb_vote_count_gt_100
329440,The Forest,2016,1543,tt3387542,tmdb_vote_count_gt_100
416234,Winchester,2018,1543,tt1072748,tmdb_vote_count_gt_100
579,Jaws 2,1978,1540,tt0077766,tmdb_vote_count_gt_100
460885,Mandy,2018,1537,tt6998518,tmdb_vote_count_gt_100
145135,Dark Skies,2013,1532,tt2387433,tmdb_vote_count_gt_100
820609,No One Will Save You,2023,1527,tt14509110,tmdb_vote_count_gt_100
13515,Mirrors,2008,1520,tt0790686,tmdb_vote_count_gt_100
2655,What Lies Beneath,2000,1503,tt0161081,tmdb_vote_count_gt_100
9100,The Craft,1996,1497,tt0115963,tmdb_vote_count_gt_100
9946,End of Days,1999,1496,tt0146675,tmdb_vote_count_gt_100
1232546,Until Dawn,2025,1494,tt30955489,tmdb_vote_count_gt_100
6171,Dreamcatcher,2003,1486,tt0285531,tmdb_vote_count_gt_100
425972,Cargo,2017,1476,tt3860916,tmdb_vote_count_gt_100
244,King Kong,1933,1468,tt0024216,tmdb_vote_count_gt_100
458305,Vivarium,2019,1466,tt8368406,tmdb_vote_count_gt_100
10014,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,1460,tt0089686,tmdb_vote_count_gt_100
23202,Trick 'r Treat,2007,1457,tt0862856,tmdb_vote_count_gt_100
326,Snakes on a Plane,2006,1448,tt0417148,tmdb_vote_count_gt_100
10781,The Texas Chainsaw Massacre: The Beginning,2006,1445,tt0420294,tmdb_vote_count_gt_100
11186,Child's Play 2,1990,1434,tt0099253,tmdb_vote_count_gt_100
719221,Tarot,2024,1429,tt14088510,tmdb_vote_count_gt_100
18405,The Last House on the Left,2009,1421,tt0844708,tmdb_vote_count_gt_100
64720,Take Shelter,2011,1416,tt1675192,tmdb_vote_count_gt_100
287424,Maggie,2015,1415,tt1881002,tmdb_vote_count_gt_100
591274,Fear Street: 1978,2021,1406,tt9701940,tmdb_vote_count_gt_100
13510,Eden Lake,2008,1388,tt1020530,tmdb_vote_count_gt_100
77883,The Possession,2012,1378,tt0431021,tmdb_vote_count_gt_100
10072,A Nightmare on Elm Street 3: Dream Warriors,1987,1376,tt0093629,tmdb_vote_count_gt_100
93856,Chernobyl Diaries,2012,1374,tt1991245,tmdb_vote_count_gt_100
602734,Spiral: From the Book of Saw,2021,1362,tt10342730,tmdb_vote_count_gt_100
76617,Texas Chainsaw 3D,2013,1346,tt1572315,tmdb_vote_count_gt_100
585216,Escape Room: Tournament of Champions,2021,1341,tt9844522,tmdb_vote_count_gt_100
437342,The First Omen,2024,1340,tt5672290,tmdb_vote_count_gt_100
11096,Hide and Seek,2005,1339,tt0382077,tmdb_vote_count_gt_100
61012,Silent Hill: Revelation 3D,2012,1336,tt0938330,tmdb_vote_count_gt_100
467660,Unsane,2018,1312,tt7153766,tmdb_vote_count_gt_100
11357,Halloween 4: The Return of Michael Myers,1988,1311,tt0095271,tmdb_vote_count_gt_100
957452,The Crow,2024,1305,tt1340094,tmdb_vote_count_gt_100
11675,Halloween H20: 20 Years Later,1998,1302,tt0120694,tmdb_vote_count_gt_100
807172,The Exorcist: Believer,2023,1300,tt12921446,tmdb_vote_count_gt_100
9348,Species,1995,1294,tt0114508,tmdb_vote_count_gt_100
2662,House of 1000 Corpses,2003,1291,tt0251736,tmdb_vote_count_gt_100
11351,Jeepers Creepers 2,2003,1287,tt0301470,tmdb_vote_count_gt_100
11683,Land of the Dead,2005,1287,tt0418819,tmdb_vote_count_gt_100
9725,Friday the 13th Part 2,1981,1281,tt0082418,tmdb_vote_count_gt_100
505058,Unfriended: Dark Web,2018,1281,tt4761916,tmdb_vote_count_gt_100
167032,Curse of Chucky,2013,1280,tt2230358,tmdb_vote_count_gt_100
377264,Morgan,2016,1280,tt4520364,tmdb_vote_count_gt_100
8843,The Cell,2000,1278,tt0209958,tmdb_vote_count_gt_100
521935,Cam,2018,1275,tt8361028,tmdb_vote_count_gt_100
2654,In the Mouth of Madness,1995,1272,tt0113409,tmdb_vote_count_gt_100
9529,Candyman,1992,1269,tt0103919,tmdb_vote_count_gt_100
527261,The Silence,2019,1269,tt7315484,tmdb_vote_count_gt_100
11336,The Dead Zone,1983,1262,tt0085407,tmdb_vote_count_gt_100
2291,Jacob's Ladder,1990,1262,tt0099871,tmdb_vote_count_gt_100
1551,Flatliners,1990,1253,tt0099582,tmdb_vote_count_gt_100
14254,The Uninvited,2009,1252,tt0815245,tmdb_vote_count_gt_100
591275,Fear Street: 1666,2021,1251,tt9701942,tmdb_vote_count_gt_100
485774,The Open House,2018,1238,tt7608028,tmdb_vote_count_gt_100
1197137,Black Phone 2,2025,1236,tt29644189,tmdb_vote_count_gt_100
