imdb_id,primaryTitle,originalTitle,startYear,titleType,runtimeMinutes,genres
tt43707648,Feral: The Movie,Feral: The Movie,,movie,90,"Fantasy,Horror,Sci-Fi"
tt43707752,Kapaali,Kapaali,,movie,,"Horror,Thriller"
tt43708168,Pacify,Pacify,,movie,,Horror
tt43708342,The Owl Man,The Owl Man,,movie,,"Action,Crime,Horror"
tt43708417,The Weekend,The Weekend,,movie,,Horror
tt43708716,La Nuit ravagée,La Nuit ravagée,,movie,,Horror
tt4370882,Dead for the Holidays,Dead for the Holidays,,movie,,Horror
tt43708901,May Two Four,May Two Four,,movie,,Horror
tt43708957,Frequency,Frequency,,movie,,Horror
tt43709647,Grandmonster,Grandmonster,,movie,,"Comedy,Horror"
tt43709648,Wifey,Wifey,,movie,,Horror
tt43709650,Eternal Valley,Eternal Valley,,movie,,Horror
tt43709979,The Strange Case of Dr. Jekyll and Mr. Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde,,movie,,Horror
tt43711106,Cut,Cut,,movie,,Horror
tt43711134,Everyday is Exactly the Same,Everyday is Exactly the Same,,movie,,Horror
tt43714273,Haunted Carnival,Haunted Carnival,,movie,,Horror
tt4375078,Production Assistant,Production Assistant,,movie,,Horror
tt4375130,Parasomniac,Parasomniac,,movie,,"Horror,Thriller"
tt4377958,Creatures of the Night,Creatures of the Night,,movie,,"Action,Adventure,Horror"
tt4378972,Extraordinary Encounters,Extraordinary Encounters,,movie,,"Biography,Horror,Thriller"
tt4379280,The Surveillance Master,The Surveillance Master,,movie,,Horror
tt4382842,Dead Mountain,Dead Mountain,,movie,,"Horror,Thriller"
tt4384352,One Night,One Night,,movie,90,"Drama,Horror,Thriller"
tt4385292,Legion,Legion,,movie,,Horror
tt4385912,Antarctica,Antarctica,,movie,,"Animation,Horror"
tt4386020,Revenant,Revenant,,movie,,Horror
tt4386046,STDemons,STDemons,,movie,,"Comedy,Horror"
tt4389662,Fossil Creek,Fossil Creek,,movie,,Horror
